net,length_um
net5,50.54
_02_,46.16
net7,44.06
net6,40.47
net10,37.64
net9,37.58
net1,35.52
net16,34.84
_00_,32.62
_04_,32.58
net2,29.44
net8,27.02
_07_,21.08
_06_,20.78
net3,19.94
_01_,17.36
net15,17.02
net12,15.4
_03_,13.58
net13,13.22
in[7],12.79
out[0],11.89
_05_,11.88
_08_,11.5
_09_,11.2
in[0],11.07
out[7],10.61
net14,10.44
out[6],7.15
in[1],6.33
in[5],6.31
net4,6.14
out[3],5.29
out[5],5.29
in[3],4.95
in[4],4.95
in[2],4.61
in[6],4.61
out[1],3.93
out[2],3.93
out[4],3.93
net11,2.52
